Name,big5_openness percentile,big5_conscientiousness percentile,big5_extraversion percentile,big5_extraversion percentile,big5_neuroticism percentile
A. R. Rahman,0.358004403,0.856488581,0.159188099,0.470231097,0.88544819
Aamir Khan,0.644486301,0.881425951,0.659977821,0.994902677,0.568515372
Abhishek Bachchan,0.486408302,0.977475444,0.430382048,0.970322096,0.244407316
Aditya Roy Kapoor,0.200002412,0.728636227,0.483576871,0.945854271,0.779885252
Aftab Shivdasani,0.555875411,0.980634881,0.766631979,0.999701662,0.24139909
Ajay Devgn,0.535234893,0.783909155,0.290667251,0.921024943,0.413818072
Ajaz Khan,0.232871217,0.676059282,0.037849823,0.822726729,0.30232614
Akshay Kumar,0.573559479,0.96494404,0.665279339,0.968957296,0.368413053
Ali Zafar,0.768179585,0.849218846,0.211024387,0.76548338,0.531315456
Alia Bhatt,0.649881668,0.859057823,0.731988429,0.90704898,0.407256599
Amitabh Bachchan,0.817992478,0.976852256,0.603434458,0.948325709,0.032485641
Amrita Rao,0.527111895,0.644482701,0.670848362,0.9132828,0.37132688
Amrita Arora,0.052603562,0.37786281,0.929053543,0.943402254,0.813725949
Anil Kapoor,0.48983951,0.97928724,0.905833316,0.998411505,0.276051542
Anjana Sukhani,0.142600922,0.61815069,0.562213829,0.987924333,0.742442614
Anu Malik,0.566964619,0.675917188,0.621184782,0.963743415,0.500771648
Anup Soni,0.241365739,0.549459849,0.130721926,0.91760798,0.406551831
Anupam Kher,0.742633507,0.599627116,0.760288623,0.854302686,0.752453856
Anurag Basu,0.631550431,0.273598161,0.100096494,0.294908718,0.702545494
Anushka Manchanda,0.889006799,0.685085646,0.429237267,0.507434729,0.458629236
Anushka Sharma,0.821984101,0.824248751,0.622238501,0.643589385,0.589736379
Arbaaz Khan,0.876364657,0.613534806,0.186979886,0.480618884,0.690694091
Archana Puran Singh,0.480632774,0.725120571,0.441895745,0.917488517,0.507893222
Arjun Rampal,0.607859195,0.977220036,0.767240529,0.984723514,0.499963794
Arshad Warsi,0.670836405,0.985598739,0.780293082,0.999759816,0.199863564
Asha Bhosle,0.275146557,0.707308721,0.51741842,0.786611437,0.864392109
Ashish Chowdhary,0.839173337,0.962886914,0.430744832,0.854840175,0.573581857
Ashmit Patel,0.313012364,0.968477237,0.348457975,0.78346293,0.385234052
Ashwin Mushran,0.831616809,0.290073324,0.346999998,0.065210834,0.378991927
Atif Aslam,0.35976713,0.940487876,0.245397923,0.820228048,0.506752186
Atul Kulkarni,0.961713468,0.825246748,0.769965991,0.93963945,0.281912306
Ayesha Takia Azmi,0.799757129,0.642211059,0.997178347,0.966555127,0.784076074
Ayushmann Khurrana,0.515002207,0.481213355,0.196384806,0.661447216,0.438852492
Bipasha Basu,0.759833802,0.982631006,0.884523857,0.943997021,0.363910247
Boman Irani,0.656314941,0.906103114,0.670421826,0.92696551,0.401863622
Bruna Abdullah,0.093403681,0.489013734,0.663736263,0.561754297,0.094602046
Chitrangada Singh,0.468194714,0.884057967,0.547819555,0.963322507,0.034410123
Chunky Pandey,0.123358149,0.827808495,0.920497949,0.898706495,0.287193087
Celina Jaitly,0.673959821,0.896304954,0.866471916,0.99569393,0.574532991
Cyrus Broacha,0.715563146,0.419263787,0.529734134,0.725463261,0.212477056
Dabboo,0.478576933,0.198692483,0.48571806,0.282472159,0.577388238
Daler Mehndi,0.293791428,0.802831931,0.674327917,0.977944132,0.353863006
Deepika Padukone,0.928859867,0.78339537,0.538381037,0.978126962,0.423404743
Dhanush,0.465771636,0.893130221,0.134375066,0.927837446,0.568012735
Dia Mirza,0.856065109,0.937661782,0.553942625,0.799395338,0.452405126
Diana Penty,0.391977679,0.937457254,0.645009542,0.984558667,0.365590642
Dibakar Banerjee,0.786346685,0.485878219,0.072127762,0.160495852,0.203426273
Dino Morea,0.537503895,0.899108267,0.65083743,0.964587169,0.362999502
Divya Dutta,0.056404036,0.457841562,0.580913234,0.994996805,0.166763161
Emraan Hashmi,0.680073181,0.772205983,0.144700743,0.274288166,0.282876767
Farah Khan,0.215036911,0.505355659,0.489201508,0.827359615,0.627099377
Farhan Akhtar,0.734659027,0.908421251,0.596339205,0.828321289,0.325481781
Gauhar Khan,0.249490854,0.624840888,0.164423683,0.992481272,0.780490312
Gaurav Kapur,0.676348224,0.789581762,0.49132151,0.887542258,0.515459004
Genelia Deshmukh,0.352901586,0.818391746,0.930684968,0.990104858,0.343348782
Goldie Behl,0.752294245,0.760691199,0.438389965,0.598838851,0.685284452
Gul Panag,0.58014115,0.552331138,0.10361786,0.074519967,0.867128363
Gurmeet Choudhary,0.59286803,0.962911704,0.465278671,0.93597946,0.171932214
Hritik Roshan,0.810873901,0.972653449,0.859759626,0.963783079,0.214466119
Huma Qureshi,0.857883994,0.938380365,0.634876115,0.964930315,0.650758761
Jaaved Jaaferi,0.939005045,0.550242877,0.200585378,0.184876342,0.478218582
Jacqueline Fernandez,0.300236274,0.821048958,0.790319522,0.708400223,0.379803811
Javed Akhtar,0.911608107,0.904070343,0.041817267,0.150903307,0.282458693
John Abraham,0.391586195,0.45082664,0.096364085,0.757190449,0.610274321
Juhi Chawla,0.740762974,0.691326714,0.728316238,0.886330399,0.339589182
Kabir Bedi,0.9333181,0.703420043,0.543099117,0.648251623,0.3677042
Kabir Khan,0.595349618,0.678560717,0.102190914,0.371858283,0.505876123
Kailash Kher,0.736432152,0.8072446,0.61044922,0.800332009,0.424146102
Kalki Koechlin,0.846734891,0.545135336,0.360168678,0.26959185,0.680182338
Kamaal R Khan,0.697147184,0.528339937,0.033920416,0.45155404,0.646034067
Kangana Ranaut,0.697209215,0.398242505,0.065954435,0.344200367,0.498695264
Kapil Sharma,0.012925875,0.780263209,0.239480126,0.976340753,0.395743672
Karan Johar,0.866229364,0.86915688,0.463371414,0.746385261,0.681066082
Karan Wahi,0.503457173,0.431146029,0.084971195,0.457858793,0.594728951
Kayoze Irani,0.369399368,0.634944956,0.64949161,0.916637123,0.812508821
Ken Ghosh,0.870802985,0.515425732,0.064001777,0.08186313,0.551993457
Konkona Sen Sharma,0.578170614,0.614928527,0.496184872,0.643248336,0.978032237
Kunal Kapoor,0.849135586,0.81387839,0.627245928,0.720961409,0.161478157
Kunal Kohli,0.672984821,0.659953262,0.409848817,0.621182754,0.263050893
Kushal Tandon,0.241998481,0.448693007,0.416774357,0.524476763,0.549814407
Lara Dutta Bhupathi,0.750296244,0.764835154,0.401039262,0.843091781,0.428047267
Lata Mangeshkar,0.116541947,0.216169527,0.133680657,0.37084486,0.535046107
Lisa Haydon,0.541514329,0.809855251,0.820093764,0.741585937,0.713718156
Lisa Ray,0.931332276,0.844828827,0.848206489,0.979690005,0.708281591
Luv Sinha,0.798845996,0.647776015,0.18229418,0.488902626,0.298541698
Madhuri Dixit-Nene,0.604905946,0.984203256,0.912642655,0.996759968,0.187968501
Mahesh Bhatt,0.718292023,0.388489899,0.029905123,0.450872497,0.336989504
Mandira Bedi,0.546898249,0.818235651,0.64916965,0.536729179,0.50878853
Manish Malhotra,0.651289962,0.718471046,0.275923632,0.830192112,0.750292735
Manish Paul,0.026357444,0.501399696,0.20926391,0.99056568,0.091376575
Manoj Bajpayee,0.552528553,0.92719312,0.967096255,0.99900326,0.116301086
Mika Singh,0.095790141,0.723006372,0.535662905,0.976586302,0.263481706
Milind Soman,0.584922876,0.78940356,0.363734469,0.292770968,0.35506667
Minissha Lamba,0.698565832,0.651157713,0.108684258,0.545089789,0.54011238
Mira Nair,0.8166335,0.856653169,0.466031736,0.927098175,0.233998182
Mughda Godse,0.797947348,0.347101495,0.189950685,0.487774264,0.343559247
Mushtaq Sheikh,0.689348449,0.876320426,0.19663649,0.66061769,0.47426859
Nandita Das,0.784242959,0.614624834,0.344444184,0.638093093,0.613674467
Nargis Fakhri,0.848493705,0.77711683,0.547338455,0.541141778,0.139446266
Neha Dhupia,0.346600143,0.876770512,0.890142479,0.996711562,0.290163533
Neil Nitin Mukesh,0.571368108,0.955586714,0.942900032,0.999997369,0.187243806
Nikhil Chinapa,0.707095994,0.460899757,0.45526624,0.323376542,0.554647101
Nikitin Dheer,0.676138106,0.627574331,0.478966244,0.886861469,0.60628992
Omi Vaidya,0.715111814,0.583624846,0.310824427,0.400722075,0.414505
Parineeti Chopra,0.474424966,0.367814421,0.247083009,0.545130043,0.909174282
Payal Rohatgi,0.249496769,0.209257466,0.042382348,0.075553627,0.005987179
Pooja Bhatt,0.969863332,0.520390131,0.275949402,0.061558114,0.337545485
Poonam Dhillon,0.521349913,0.540168581,0.643776364,0.929505935,0.603445923
Poonam Pandey,0.63926056,0.933314741,0.688061532,0.546101944,0.853739159
Prakash Raj,0.569502993,0.934287155,0.33158292,0.564158992,0.336634827
Preity Zinta,0.232735241,0.915923894,0.752690614,0.95555268,0.366896436
Priyanka Chopra,0.703753956,0.938372494,0.815703997,0.950534923,0.427173082
Pulkit Samrat,0.177481693,0.285440191,0.62255996,0.824949072,0.838868036
Punit Malhotra,0.319638084,0.896250645,0.541847892,0.786909285,0.729682657
Purab Kohli,0.785054241,0.631790966,0.451123973,0.836599219,0.462870164
Rahul Bose,0.884269117,0.739014456,0.297764161,0.448751157,0.429589179
Rahul Khanna,0.72985805,0.699056519,0.449880951,0.309288002,0.579900422
Rajat Kapoor,0.212877961,0.842108509,0.010143943,0.100146643,0.623891545
Ram Gopal Varma,0.906124879,0.296209953,0.051755154,0.047681687,0.668084008
Ram Kapoor,0.774742223,0.164024562,0.029673106,0.001351909,0.991335324
Randeep Hooda,0.818900245,0.837198364,0.149221425,0.122389114,0.393541577
Rannvijay Singha,0.307580128,0.952479815,0.204156934,0.738752501,0.403580038
Ranveer Singh,0.677569545,0.369512383,0.202976869,0.271091551,0.72693054
Ranvir Shorey,0.583071259,0.331180745,0.216020991,0.130045096,0.844438587
Ravi Dubey,0.594228801,0.613161423,0.222943071,0.872097935,0.133818617
Riteish Deshmukh,0.20502199,0.887043702,0.799686985,0.985556635,0.19827552
Ritesh Sidhwani,0.834921589,0.864949072,0.131327555,0.428969996,0.643031714
Riya Sen,0.576004538,0.41418912,0.355278018,0.698487953,0.86502588
R. Madhavan,0.52050994,0.973112694,0.754332402,0.999923513,0.454188057
Rohan Sippy,0.866776762,0.795850833,0.950481397,0.96752572,0.410769671
Rohit Roy,0.613476792,0.822993726,0.505664063,0.969016757,0.583171067
Ronit Roy,0.625263314,0.915148801,0.781387819,0.994997957,0.090806879
Ronnie Screwvala,0.475757873,0.776703934,0.324345613,0.228849559,0.617189431
Roshan Abbas,0.929281203,0.519692794,0.347855476,0.653066532,0.431248366
Salim Merchant,0.295078977,0.944883936,0.788721366,0.983038959,0.794039397
Salman Khan,0.139976916,0.348858166,0.063117993,0.559953543,0.469452323
Salman Yusuff Khan,0.571850451,0.623665162,0.421749901,0.777575442,0.677149398
Sameera Reddy,0.902086593,0.721003724,0.983303918,0.886393042,0.513821022
Sanjay Dutt,0.620578368,0.733158013,0.414317719,0.844943287,0.704098032
Satish Kaushik,0.391716294,0.637652077,0.640664404,0.951504041,0.078838781
Shaan,0.57513795,0.811322316,0.392491964,0.955229908,0.331101659
Shabana Azmi,0.874062556,0.390535499,0.168939912,0.707083974,0.711590737
Shah Rukh Khan,0.685759535,0.944355173,0.522545084,0.982694065,0.568062899
Shahid Kapoor,0.717465037,0.941647588,0.852105976,0.997125221,0.244061342
Shankar Mahadevan,0.530215141,0.824533115,0.447574569,0.915650787,0.781767994
Sharman Joshi,0.47287205,0.834690925,0.09154552,0.747184278,0.324510054
Shazahn Padamsee,0.511602496,0.810134443,0.749882677,0.513720223,0.409457921
Shekhar Kapur,0.949955825,0.695071518,0.041098128,0.121252722,0.570257495
Sherlyn Chopra,0.259083643,0.588483498,0.868565982,0.8670579,0.740654474
Shilpa Shetty,0.558890193,0.858384394,0.230854878,0.416903248,0.358242399
Shirish Kunder,0.861599716,0.986136817,0.850076159,0.999647796,0.115788214
Shivaji Satam,0.341240762,0.703387113,0.214530633,0.844221935,0.062840327
Shraddha Kapoor,0.781183833,0.977283952,0.670061715,0.733600872,0.242844946
Shreya Ghoshal,0.376386307,0.876031703,0.728101498,0.998628437,0.688456579
Shreyas Talpade,0.467724609,0.794911339,0.762566371,0.993961053,0.31052406
Shruti Haasan,0.701676182,0.615221373,0.710200898,0.942281393,0.762606183
Sonakshi Sinha,0.710532773,0.889603275,0.647906886,0.876779991,0.270396377
Sonam Kapoor,0.908152159,0.612792129,0.523405551,0.795242966,0.587923917
Sophie Choudry,0.296150779,0.917968693,0.709086071,0.992678307,0.411570218
Subhash Ghai,0.464730827,0.578531394,0.289424076,0.789608659,0.810660397
Suchitra Pillai,0.384250743,0.646992508,0.300917992,0.938368285,0.832749243
Sulaiman Merchant,0.730678707,0.841340905,0.233435551,0.576837739,0.776352295
Sunidhi Chauhan,0.442833825,0.853533217,0.965777973,0.985897988,0.501431649
Sunny Leone,0.384333098,0.920463106,0.761733797,0.837005883,0.633197332
Sushmita Sen,0.775297725,0.907926003,0.818180659,0.98543457,0.241631071
Sussanne K Roshan,0.89627988,0.897835702,0.590309189,0.909821358,0.347295572
Tanishaa Mukerji,0.551985083,0.527517297,0.739642532,0.790013066,0.734199969
Teejay Sidhu,0.458235311,0.710130946,0.607849737,0.974156665,0.526601737
Tiger Shroff,0.564895567,0.931514567,0.570060263,0.974224101,0.437031904
Tusshar Kapoor,0.615637634,0.829935986,0.26546977,0.738584971,0.506485367
Uday Chopra,0.971614955,0.832870199,0.219460064,0.200564272,0.267902298
Varun Dhawan,0.205483091,0.928395977,0.376766323,0.99288433,0.555003707
Vinay Pathak,0.719899158,0.777748583,0.257689706,0.793709092,0.829966946
Vir Das,0.844020471,0.559698875,0.475609017,0.840163938,0.487815647
Vishal Dadlani,0.811013969,0.770523437,0.54096708,0.715329771,0.529529182
Wajid Khan,0.016093742,0.452128951,0.041951047,0.828035289,0.360474338
Yami Gautam,0.701607047,0.943930335,0.88719988,0.9981863,0.293769619
Yo Yo Honey Singh,0.159525285,0.884956502,0.879509837,0.860879899,0.363133669
